"Path","SizeMB"
"C:\Users\hecki\Videos\ðŸ”¥","28.26"
"C:\Users\hecki\Videos\Captures","0"
"C:\Users\hecki\Videos\Destiny 2","5.92"
"C:\Users\hecki\Videos\Fortnite","395123.02"
"C:\Users\hecki\Videos\GSOC","2062.7"
"C:\Users\hecki\Videos\NVIDIA","0"
"C:\Users\hecki\Documents\Call of Duty","0.2"
"C:\Users\hecki\Documents\Cloud Engineer","8.55"
"C:\Users\hecki\Documents\Court","0.45"
"C:\Users\hecki\Documents\Custom Office Templates","0"
"C:\Users\hecki\Documents\Divorce","1.17"
"C:\Users\hecki\Documents\OneNote Notebooks","2.05"
"C:\Users\hecki\Documents\Powershell","24.76"
"C:\Users\hecki\Documents\PowerToys","0"
"C:\Users\hecki\Documents\The Witcher","36.58"
"C:\Users\hecki\Documents\TurboTax","0"
"C:\Users\hecki\Documents\Virtual Machines","130267.57"
"C:\Users\hecki\Documents\Zoom","0"
"C:\Users\hecki\Downloads\2022","0.05"
"C:\Users\hecki\Downloads\CascadiaCode","3.42"
"C:\Users\hecki\Downloads\CascadiaCode (1)","76.7"
"C:\Users\hecki\Downloads\CascadiaCode (2)","76.7"
"C:\Users\hecki\Downloads\chrome-win64","292.06"
"C:\Users\hecki\Downloads\chrome-win64 (1)","299.74"
"C:\Users\hecki\Downloads\chromedriver_win32","11.94"
"C:\Users\hecki\Downloads\chromedriver-win32","12.03"
"C:\Users\hecki\Downloads\chromedriver-win64","0"
"C:\Users\hecki\Downloads\iCloud Photos from Cory Crook","0"
"C:\Users\hecki\Downloads\iCloud Photos from Cory Crook (1)","521.84"
"C:\Users\hecki\Downloads\kali-linux-2023.3-vmware-amd64.vmwarevm","50428.67"
"C:\Users\hecki\Downloads\MicrosoftWindows.Client.CBS_cw5n1h2txyewy!InputApp","0"
"C:\Users\hecki\Downloads\MobaXterm_Installer_v23.2","30.24"
"C:\Users\hecki\Downloads\Parrot-security-6.2_amd64.vmdk","8569.56"
"C:\Users\hecki\Downloads\phone-number (1)","0"
"C:\Users\hecki\Downloads\Resources","1.98"
"C:\Users\hecki\Downloads\ruby-3.3.6","111.01"
"C:\Users\hecki\Downloads\shreds","2.64"
"C:\Users\hecki\Downloads\test","0"
"C:\Users\hecki\OneDrive\Apps","20.05"
"C:\Users\hecki\OneDrive\Attachments","0"
"C:\Users\hecki\OneDrive\Desktop","0.02"
"C:\Users\hecki\OneDrive\Documents","487671.49"
"C:\Users\hecki\OneDrive\Pictures","30245.88"
"C:\Users\hecki\AppData\Local","20691.54"
"C:\Users\hecki\AppData\LocalLow","2184.22"
"C:\Users\hecki\AppData\Roaming","33514.7"
"C:\Users\hecki\OneDrive\Apps","20.05"
"C:\Users\hecki\OneDrive\Attachments","0"
"C:\Users\hecki\OneDrive\Desktop","0.02"
"C:\Users\hecki\OneDrive\Documents","487671.49"
"C:\Users\hecki\OneDrive\Pictures","30245.88"
"C:\Users\hecki\OneDrive\Pictures\.ico","0"
"C:\Users\hecki\OneDrive\Pictures\Alaska Pics","1118.25"
"C:\Users\hecki\OneDrive\Pictures\Camera Roll","28690.55"
"C:\Users\hecki\OneDrive\Pictures\fav","1.22"
"C:\Users\hecki\OneDrive\Pictures\favtest","0"
"C:\Users\hecki\OneDrive\Pictures\Feedback","0"
"C:\Users\hecki\OneDrive\Pictures\HMMM","0.47"
"C:\Users\hecki\OneDrive\Pictures\My Love","7.55"
"C:\Users\hecki\OneDrive\Pictures\Screenshots","392.52"
"C:\Users\hecki\OneDrive\Pictures\sketchypigbutcher","1.02"
"C:\Users\hecki\OneDrive\Pictures\Stud","4.63"
"C:\Users\hecki\Prog\.obsidian","0"
"C:\Users\hecki\Prog\All_Small_Things","6.37"
"C:\Users\hecki\Prog\Automate_life","305.62"
"C:\Users\hecki\Prog\chirpy24","136.87"
"C:\Users\hecki\Prog\chrome_profile","905.73"
"C:\Users\hecki\Prog\DNSEnum","80.56"
"C:\Users\hecki\Prog\no_peeking","0"
"C:\Users\hecki\Prog\poppin_off","58.79"
"C:\Users\hecki\Prog\PythonSecurityEC","20.23"
"C:\Users\hecki\Prog\warlock","85.92"
"C:\Users\hecki\Prog\Xp101T7.github.io","125.89"
